500	1.192
1000	1
1500	1
2000	1
2500	1
3000	2
3500	2
4000	2
4500	2
5000	3
5500	3
6000	4
6500	4
7000	5
7500	5
8000	6
8500	6
9000	6
9500	6
10000	7
10500	7
11000	7
11500	8
12000	8
12500	8
13000	9
13500	10
14000	9
14500	9
15000	9
15500	10
16000	10
16500	10
17000	10
17500	9
18000	11
18500	11
19000	10
19500	10
20000	12
20500	11
21000	10
21500	11
22000	10
22500	11
23000	10
23500	11
24000	11
24500	10
25000	11
25500	11
26000	11
26500	11
27000	11
27500	10
28000	11
28500	10
29000	11
29500	11
30000	11
30500	11
31000	11
31500	11
32000	11
32500	11
33000	10
33500	11
34000	11
34500	10
35000	10
35500	11
36000	11
36500	11
37000	11
37500	10
38000	12
38500	11
39000	10
39500	11
40000	10
40500	10
41000	11
41500	11
42000	11
42500	11
43000	11
43500	11
44000	11
44500	10
45000	10
45500	10
46000	11
46500	11
47000	11
47500	12
48000	11
48500	11
49000	11
49500	11
50000	11
11.165
