500	1.164
1000	1
1500	1
2000	1
2500	1
3000	1
3500	1
4000	1
4500	1
5000	2
5500	2
6000	2
6500	2
7000	2
7500	2
8000	2
8500	3
9000	3
9500	3
10000	4
10500	5
11000	6
11500	6
12000	7
12500	6
13000	7
13500	8
14000	8
14500	9
15000	9
15500	10
16000	9
16500	10
17000	9
17500	10
18000	9
18500	10
19000	10
19500	11
20000	10
20500	11
21000	11
21500	10
22000	11
22500	10
23000	11
23500	10
24000	10
24500	10
25000	11
25500	11
26000	11
26500	11
27000	12
27500	11
28000	11
28500	11
29000	11
29500	11
30000	12
30500	12
31000	12
31500	11
32000	11
32500	11
33000	12
33500	12
34000	11
34500	12
35000	12
35500	12
36000	12
36500	12
37000	12
37500	12
38000	12
38500	11
39000	11
39500	12
40000	11
40500	12
41000	12
41500	12
42000	12
42500	11
43000	12
43500	12
44000	11
44500	12
45000	12
45500	13
46000	12
46500	12
47000	12
47500	12
48000	12
48500	13
49000	12
49500	12
50000	12
12.165
